x,y
0.000000,1.000000
5.000000,0.996195
10.000000,0.984808
15.000000,0.965926
20.000000,0.939693
25.000000,0.906308
30.000000,0.866025
35.000000,0.819152
40.000000,0.766044
45.000000,0.707107
50.000000,0.642788
55.000000,0.573576
60.000000,0.500000
65.000000,0.422618
70.000000,0.342020
75.000000,0.258819
80.000000,0.173648
85.000000,0.087156
90.000000,-0.000000
95.000000,-0.087157
100.000000,-0.173650
105.000000,-0.258822
110.000000,-0.342025
115.000000,-0.422627
120.000000,-0.500015
125.000000,-0.573600
130.000000,-0.642825
135.000000,-0.707166
140.000000,-0.766136
145.000000,-0.819291
150.000000,-0.866234
155.000000,-0.906616
160.000000,-0.940143
165.000000,-0.966575
170.000000,-0.985734
175.000000,-0.997503
180.000000,-1.001829
185.000000,-0.998728
190.000000,-0.988286
195.000000,-0.970662
200.000000,-0.946090
205.000000,-0.914883
210.000000,-0.877438
215.000000,-0.834236
220.000000,-0.785851
225.000000,-0.732952
230.000000,-0.676311
235.000000,-0.616809
240.000000,-0.555448
245.000000,-0.493360
250.000000,-0.431816
255.000000,-0.372247
260.000000,-0.316259
265.000000,-0.265651
270.000000,-0.222441
275.000000,-0.188893
280.000000,-0.167548
285.000000,-0.161260
290.000000,-0.173238
295.000000,-0.207092
300.000000,-0.266886
305.000000,-0.357198
310.000000,-0.483189
315.000000,-0.650678
320.000000,-0.866224
325.000000,-1.137225
330.000000,-1.472020
335.000000,-1.880008
340.000000,-2.371773
345.000000,-2.959230
350.000000,-3.655780
355.000000,-4.476483
360.000000,-5.438247
365.000000,-6.560034
